Country Name,Country Code,Series Name,Series Code,2019
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,11.06000042
Belarus,BLR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,58.56000137
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.710000038
Belarus,BLR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Belarus,BLR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98
Belarus,BLR,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,97
Belarus,BLR,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,98
Belarus,BLR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Belarus,BLR,"International tourism, number of arrivals",ST.INT.ARVL,11832000
Belarus,BLR,"International tourism, number of departures",ST.INT.DPRT,9221000
Belgium,BEL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.84000015
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,0.920000017
Belgium,BEL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,78.23999786
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.360000134
Belgium,BEL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Belgium,BEL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96
Belgium,BEL,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,97
Belgium,BEL,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,98
Belgium,BEL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Belgium,BEL,"International tourism, number of arrivals",ST.INT.ARVL,9343000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,14191000
Belize,BLZ,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,15.59000015
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,16.79999924
Belize,BLZ,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,67.61000061
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.460000038
Belize,BLZ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Belize,BLZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96
Belize,BLZ,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,98
Belize,BLZ,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,98
Belize,BLZ,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Belize,BLZ,"International tourism, number of arrivals",ST.INT.ARVL,1674000
Belize,BLZ,"International tourism, number of departures",ST.INT.DPRT,..
Benin,BEN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,18.30999947
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,38.27000046
Benin,BEN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,43.41999817
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.319999933
Benin,BEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,38.5
Benin,BEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,71
Benin,BEN,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,76
Benin,BEN,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,76
Benin,BEN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Benin,BEN,"International tourism, number of arrivals",ST.INT.ARVL,337000
Benin,BEN,"International tourism, number of departures",ST.INT.DPRT,..
Bermuda,BMU,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..
Bermuda,BMU,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Bermuda,BMU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bermuda,BMU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..
Bermuda,BMU,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..
Bermuda,BMU,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..
Bermuda,BMU,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Bermuda,BMU,"International tourism, number of arrivals",ST.INT.ARVL,805000
Bermuda,BMU,"International tourism, number of departures",ST.INT.DPRT,..
Bhutan,BTN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,10.14999962
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,55.77999878
Bhutan,BTN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,34.06000137
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.269999981
Bhutan,BTN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bhutan,BTN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97
Bhutan,BTN,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,97
Bhutan,BTN,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,97
Bhutan,BTN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,316000
Bhutan,BTN,"International tourism, number of departures",ST.INT.DPRT,72000
Bolivia,BOL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.40999985
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,30.54000092
Bolivia,BOL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,50.04999924
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.460000038
Bolivia,BOL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bolivia,BOL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,79
Bolivia,BOL,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,75
Bolivia,BOL,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,75
Bolivia,BOL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Bolivia,BOL,"International tourism, number of arrivals",ST.INT.ARVL,1239000
Bolivia,BOL,"International tourism, number of departures",ST.INT.DPRT,1160000
Bosnia and Herzegovina,BIH,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,31.70999908
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,17.95999908
Bosnia and Herzegovina,BIH,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,50.33000183
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.68999958
Bosnia and Herzegovina,BIH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bosnia and Herzegovina,BIH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,68
Bosnia and Herzegovina,BIH,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,80
Bosnia and Herzegovina,BIH,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,73
Bosnia and Herzegovina,BIH,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",ST.INT.ARVL,1198000
Bosnia and Herzegovina,BIH,"International tourism, number of departures",ST.INT.DPRT,..
Botswana,BWA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.62000084
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,19.89999962
Botswana,BWA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,62.49000168
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.20999908
Botswana,BWA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Botswana,BWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97
Botswana,BWA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,95
Botswana,BWA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,95
Botswana,BWA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..
Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,..
Botswana,BWA,"International tourism, number of departures",ST.INT.DPRT,..
Brazil,BRA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.98999977
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,9.079999924
Brazil,BRA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,70.94000244
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.93000031
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91
Brazil,BRA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,80
